Protocolo;Origem IP;Origem MAC;Destino IP;Destino MAC;Tamanho;QoS
TCP;221.108.30.01;ab:ab:a0:a0:ab:70;13.120.12.02;ab:ab:a0:a0:a0:64;1200;0
UDP;13.120.12.02;ab:ab:a0:a0:a0:64;221.108.30.01;ab:ab:a0:a0:ab:70;1456;1
TCP;221.108.30.01;ab:ab:a0:a0:ab:70;13.120.12.02;ab:ab:a0:a0:a0:64;1200;0
TCP;221.108.30.01;ab:ab:a0:a0:ab:70;13.120.12.02;ab:ab:a0:a0:a0:64;1200;0
UDP;13.120.12.02;ab:ab:a0:a0:a0:64;221.108.30.01;ab:ab:a0:a0:ab:70;1456;1
TCP;221.108.30.01;ab:ab:a0:a0:ab:70;13.120.12.02;ab:ab:a0:a0:a0:64;1200;0
UDP;13.120.12.02;ab:ab:a0:a0:a0:64;221.108.30.01;ab:ab:a0:a0:ab:70;1456;1
TCP;221.108.30.01;ab:ab:a0:a0:ab:70;13.120.12.02;ab:ab:a0:a0:a0:64;1200;0
TCP;221.108.30.01;ab:ab:a0:a0:ab:70;13.120.12.02;ab:ab:a0:a0:a0:64;1200;0
UDP;13.120.12.02;ab:ab:a0:a0:a0:64;221.108.30.01;ab:ab:a0:a0:ab:70;1456;1
